algorithm,rec@1,prec@1,f1@1,rec_unigram@1,prec_unigram@1,f1_unigram@1,rec@5,prec@5,f1@5,rec_unigram@5,prec_unigram@5,f1_unigram@5,rec@10,prec@10,f1@10,rec_unigram@10,prec_unigram@10,f1_unigram@10,rec@15,prec@15,f1@15,rec_unigram@15,prec_unigram@15,f1_unigram@15,rec@20,prec@20,f1@20,rec_unigram@20,prec_unigram@20,f1_unigram@20,avg_num_tokens_in_summ, avg_num_kps_in_summ
TfIdf,0.0197,0.1461,0.0345,0.0600,0.8653,0.1112,0.0783,0.1175,0.0928,0.2112,0.5416,0.2946,0.1309,0.0974,0.1102,0.3218,0.3817,0.3364,0.1707,0.0853,0.1124,0.3965,0.2993,0.3294,0.2044,0.0766,0.1102,0.4514,0.2477,0.3099,1.4997,20.0000
KPMiner,0.0367,0.2724,0.0643,0.0789,0.8173,0.1415,0.1203,0.1818,0.1431,0.2506,0.5751,0.3406,0.1621,0.1255,0.1398,0.3464,0.4452,0.3782,0.1830,0.0988,0.1267,0.4058,0.3859,0.3830,0.1916,0.0831,0.1140,0.4428,0.3493,0.3761,1.1669,18.3090
YAKE,0.0253,0.1883,0.0443,0.0765,0.5465,0.1304,0.1051,0.1584,0.1244,0.2460,0.3711,0.2855,0.1617,0.1244,0.1385,0.3436,0.2672,0.2917,0.2118,0.1092,0.1423,0.4251,0.2265,0.2881,0.2558,0.0987,0.1409,0.4828,0.1973,0.2741,2.0248,19.9610
TextRank,0.0182,0.1299,0.0316,0.1023,0.4051,0.1593,0.0958,0.1481,0.1147,0.3069,0.2968,0.2939,0.2006,0.1588,0.1749,0.4346,0.2412,0.3030,0.2756,0.1492,0.1910,0.5232,0.2079,0.2905,0.3389,0.1404,0.1954,0.5962,0.1871,0.2780,2.8480,19.7273
SingleRank,0.0403,0.2955,0.0704,0.1325,0.6170,0.2120,0.1684,0.2572,0.2006,0.3477,0.3803,0.3541,0.2708,0.2133,0.2356,0.4659,0.2845,0.3455,0.3542,0.1895,0.2436,0.5555,0.2399,0.3277,0.4199,0.1709,0.2393,0.6260,0.2119,0.3095,2.5886,19.7273
TopicRank,0.0478,0.3539,0.0836,0.0853,0.7597,0.1486,0.1633,0.2501,0.1951,0.2784,0.5354,0.3554,0.2465,0.1941,0.2148,0.4083,0.4093,0.3989,0.3029,0.1637,0.2098,0.4906,0.3405,0.3930,0.3404,0.1409,0.1960,0.5472,0.2925,0.3728,1.5750,19.6981
TopicalPageRank,0.0435,0.3214,0.0759,0.1329,0.6336,0.2140,0.1761,0.2689,0.2098,0.3473,0.3946,0.3604,0.2823,0.2226,0.2458,0.4653,0.2946,0.3530,0.3657,0.1967,0.2525,0.5579,0.2505,0.3384,0.4367,0.1782,0.2493,0.6314,0.2215,0.3205,2.5040,19.7175
PositionRank,0.0468,0.3604,0.0822,0.1040,0.6342,0.1756,0.1916,0.2965,0.2297,0.3132,0.4323,0.3542,0.3183,0.2519,0.2776,0.4558,0.3448,0.3838,0.3995,0.2152,0.2757,0.5472,0.2896,0.3702,0.4691,0.1916,0.2677,0.6188,0.2530,0.3509,2.0794,19.7013
MultipartiteRank,0.0523,0.3896,0.0916,0.0900,0.7765,0.1565,0.1793,0.2741,0.2142,0.2885,0.5556,0.3683,0.2707,0.2120,0.2351,0.4336,0.4373,0.4249,0.3374,0.1811,0.2326,0.5227,0.3657,0.4207,0.3902,0.1594,0.2228,0.5899,0.3174,0.4037,1.5573,19.7045
BERTKPE,0.0550,0.4156,0.0966,0.0815,0.6343,0.1410,0.1948,0.2955,0.2314,0.2916,0.4689,0.3481,0.2960,0.2266,0.2532,0.4390,0.3502,0.3794,0.3612,0.1859,0.2425,0.5236,0.2736,0.3509,0.4172,0.1620,0.2308,0.5921,0.2332,0.3274,2.1045,20.0000
CollabRank,0.0511,0.3799,0.0894,0.1374,0.7065,0.2237,0.1922,0.2923,0.2288,0.3446,0.421,0.3692,0.3109,0.2429,0.2692,0.4812,0.3168,0.3738,0.3863,0.2064,0.2656,0.5725,0.2652,0.3553,0.4486,0.1818,0.255,0.64,0.2316,0.3331,2.405,19.7273